RecID;MStamp;MStation;IDDocumentActief;IDDocumentPassief;RelatieType
1018598;2010-05-17;1;1019001;1000723;1
1018599;2010-05-17;1;1019001;1008468;1
1018600;2010-05-17;1;1019001;1018273;1
1018601;2010-05-17;1;1019001;1000598;2
1018602;2010-05-17;1;1019001;1006154;2
1018603;2010-05-17;1;1019001;1000045;0
1018604;2010-05-17;1;1019002;1003760;1
1018605;2010-05-17;1;1019002;1003968;1
1018606;2010-05-17;1;1019002;1017384;0
1018611;2010-05-17;1;1019003;1013124;1
1018612;2010-05-17;1;1019003;1016441;1
1018613;2010-05-18;1;1019004;1016606;2
1018614;2010-05-19;1;1019006;1014945;1
1018615;2010-05-19;1;1019006;1018272;0
1018616;2010-05-19;1;1019007;1015329;1
1018617;2010-05-19;1;1019007;1016866;2
1018618;2010-05-19;1;1019008;1006469;1
1018619;2010-05-19;1;1019009;1015720;1
1018620;2010-05-20;1;1019010;1015646;2
1018621;2010-05-25;1;1019011;1014897;0
1018622;2010-05-25;1;1019011;1014988;0
1018623;2010-05-25;1;1019012;1014535;2
1018624;2010-05-26;1;1019015;1000160;2
1018625;2010-05-26;1;1019014;1016249;2
1018626;2010-05-27;1;1001611;1006786;2
1018627;2010-05-27;1;1019017;1008184;2
1018628;2010-05-27;1;1006124;1019018;0
1018629;2010-05-27;1;1000626;1018902;0
1018630;2010-05-27;1;1005627;1018902;0
1018633;2010-05-27;1;1019019;1019020;2
1018634;2010-05-27;1;1019021;1019020;2
1018635;2010-05-27;1;1019022;1019020;2
1018636;2010-05-27;1;1019020;1004714;1
1018637;2010-05-27;1;1014433;1001888;2
1018638;2010-05-27;1;1019023;1001888;2
1018639;2010-05-27;1;1001186;1000591;2
1018640;2010-05-27;1;1000395;1000591;2
1018641;2010-05-27;1;1000274;1000591;2
1018642;2010-05-27;1;1000591;1001750;1
1018643;2010-05-27;1;1019024;1000591;2
1018644;2010-05-27;1;1019025;1000591;2
1018645;2010-05-27;1;1019026;1000591;2
1018646;2010-05-27;1;1019027;1000591;2
1018647;2010-05-27;1;1019028;1000591;2
1018648;2010-05-27;1;1019029;1000591;2
1018649;2010-05-27;1;1001874;1000591;2
1018651;2010-05-27;1;1000591;1000465;1
1018653;2010-05-27;1;1017952;1017954;2
1018654;2010-05-28;1;1019031;1010800;1
1018655;2010-05-28;1;1019031;1015847;0
1018656;2010-05-28;1;1002674;1001933;2
1018657;2010-05-28;1;1019032;1010800;1
1018658;2010-05-28;1;1002673;1001933;2
1018659;2010-05-28;1;1019032;1015846;0
1018660;2010-05-28;1;1019036;1005268;2
1018661;2010-05-28;1;1019033;1018934;1
1018662;2010-05-28;1;1019037;1007399;2
1018663;2010-05-28;1;1019038;1007399;2
1018664;2010-05-28;1;1019034;1001598;2
1018665;2010-05-28;1;1002672;1001933;2
1018666;2010-05-28;1;1002671;1001933;2
1018667;2010-05-28;1;1011711;1019039;0
1018668;2010-05-28;1;1019040;1009854;2
1018669;2010-05-31;1;1001684;1019041;0
1018670;2010-05-31;1;1006358;1000244;0
1018671;2010-05-31;1;1019042;1000244;2
1018675;2010-05-31;1;1019043;1010471;2
1018676;2010-05-31;1;1002939;1017775;1
1018677;2010-05-31;1;1000465;1019044;0
1018678;2010-05-31;1;1000465;1019045;0
1018679;2010-05-31;1;1000465;1019046;0
1018680;2010-05-31;1;1000465;1000507;0
1018681;2010-05-31;1;1000465;1019047;0
1018682;2010-05-31;1;1001188;1002910;1
1018683;2010-05-31;1;1007872;1001188;0
1018684;2010-05-31;1;1019048;1001188;2
1018685;2010-05-31;1;1019049;1001188;2
1018686;2010-06-02;1;1019052;1015725;2
1018687;2010-06-02;1;1019053;1012054;2
1018688;2010-06-02;1;1019054;1007282;2
1018689;2010-06-02;1;1019051;1015079;0
1018692;2010-06-03;1;1019055;1017604;1
1018693;2010-06-03;1;1000868;1003270;2
1018694;2010-06-04;1;1000594;1002540;2
1018695;2010-06-04;1;1019056;1002540;2
1018696;2010-06-04;1;1019056;1000594;2
1018697;2010-06-04;1;1019057;1002540;2
1018698;2010-06-07;1;1001120;1001119;10
1018699;2010-06-07;1;1001121;1001452;10
1018700;2010-06-07;1;1001123;1001122;10
1018701;2010-06-07;1;1001125;1001124;10
1018702;2010-06-07;1;1001127;1001126;10
1018703;2010-06-07;1;1019059;1009628;2
1018704;2010-06-07;1;1019060;1009628;2
1018705;2010-06-07;1;1019061;1009628;2
1018706;2010-06-07;1;1019062;1009628;2
1018707;2010-06-07;1;1019063;1009628;2
1018708;2010-06-07;1;1019064;1009628;2
1018709;2010-06-07;1;1019065;1009628;2
1018710;2010-06-07;1;1019066;1009628;2
1018711;2010-06-07;1;1019058;1012056;2
1018712;2010-06-07;1;1019067;1009628;2
1018713;2010-06-07;1;1019068;1009628;2
1018714;2010-06-07;1;1019069;1009628;2
1018715;2010-06-07;1;1019070;1009628;2
1018716;2010-06-07;1;1019071;1009628;2
1018717;2010-06-07;1;1019072;1009628;2
1018718;2010-06-07;1;1019073;1009628;2
1018719;2010-06-07;1;1019074;1009628;2
1018720;2010-06-08;1;1019076;1009628;2
1018721;2010-06-08;1;1019058;1016853;2
1018722;2010-06-08;1;1019077;1009628;2
1018723;2010-06-08;1;1019078;1009628;2
1018724;2010-06-08;1;1019079;1009628;2
1018725;2010-06-08;1;1019080;1009628;2
1018726;2010-06-08;1;1019079;1019080;2
1018727;2010-06-08;1;1019081;1009628;2
1018728;2010-06-08;1;1008210;1009628;2
1018730;2010-06-08;1;1019083;1009628;2
1018731;2010-06-08;1;1019084;1009628;2
1018732;2010-06-08;1;1019085;1009628;2
1018733;2010-06-08;1;1000868;1019086;0
1018734;2010-06-08;1;1002402;1004697;1
1018735;2010-06-08;1;1000465;1002402;0
1018736;2010-06-08;1;1012223;1002402;2
1018737;2010-06-08;1;1011336;1002402;2
1018738;2010-06-08;1;1019087;1002402;2
1018739;2010-06-08;1;1019088;1019087;2
1018740;2010-06-08;1;1000465;1000533;0
1018741;2010-06-08;1;1000710;1000533;0
1018742;2010-06-08;1;1000260;1000533;0
1018743;2010-06-08;1;1000266;1000533;0
1018744;2010-06-08;1;1019089;1000533;2
1018745;2010-06-08;1;1019090;1000533;2
1018746;2010-06-08;1;1019091;1000533;2
1018747;2010-06-08;1;1019092;1000533;2
1018748;2010-06-08;1;1019093;1000533;2
1018749;2010-06-08;1;1019094;1000533;2
