RecID;MStamp;MStation;IDDocument;IDTrefwoord
1000477;2006-06-24;1;1000390;1000205
1000478;2006-06-24;1;1000392;1000041
1000479;2006-06-24;1;1000392;1000042
1000480;2006-06-24;1;1000392;1000043
1000481;2006-06-24;1;1000392;1000044
1000482;2006-06-24;1;1000392;1000045
1000483;2006-06-24;1;1000392;1000046
1000484;2006-06-24;1;1000392;1000047
1000485;2006-06-24;1;1000392;1000048
1000486;2006-06-24;1;1000392;1000203
1000487;2006-06-24;1;1000392;1000204
1000488;2006-06-24;1;1000392;1000206
1000489;2006-06-24;1;1000392;1000207
1000490;2006-06-24;1;1000393;1000040
1000491;2006-06-24;1;1000393;1000041
1000492;2006-06-24;1;1000393;1000042
1000493;2006-06-24;1;1000393;1000043
1000494;2006-06-24;1;1000393;1000044
1000495;2006-06-24;1;1000393;1000045
1000496;2006-06-24;1;1000393;1000046
1000497;2006-06-24;1;1000393;1000047
1000498;2006-06-24;1;1000393;1000048
1000499;2006-06-24;1;1000393;1000049
1000500;2006-06-24;1;1000395;1000203
1000501;2006-06-24;1;1000395;1000204
1000502;2006-06-24;1;1000395;1000165
1000503;2006-06-24;1;1000395;1000160
1000504;2006-06-24;1;1000395;1000161
1000505;2006-06-24;1;1000395;1000162
1000506;2006-06-24;1;1000395;1000041
1000507;2006-06-24;1;1000395;1000042
1000508;2006-06-24;1;1000395;1000043
1000509;2006-06-24;1;1000395;1000044
1000510;2006-06-24;1;1000395;1000045
1000511;2006-06-24;1;1000395;1000046
1000512;2006-06-24;1;1000395;1000047
1000513;2006-06-24;1;1000395;1000048
1000514;2006-06-24;1;1000395;1000205
1000515;2006-06-24;1;1000400;1000208
1000516;2006-06-24;1;1000401;1000209
1000517;2006-06-24;1;1000401;1000210
1000518;2006-06-24;1;1000406;1000009
1000520;2006-06-24;1;1000406;1000212
1000521;2006-06-24;1;1000406;1000129
1000522;2006-06-24;1;1000406;1000180
1000523;2006-06-24;1;1000406;1000181
1000524;2006-06-24;1;1000406;1000213
1000525;2006-06-24;1;1000406;1000214
1000526;2006-06-24;1;1000406;1000215
1000527;2006-06-24;1;1000406;1000216
1000528;2006-06-24;1;1000406;1000217
1000529;2006-06-24;1;1000406;1000218
1000530;2006-06-24;1;1000406;1000219
1000531;2006-06-24;1;1000406;1000208
1000532;2006-06-24;1;1000406;1000220
1000533;2006-06-24;1;1000425;1000065
1000534;2006-06-24;1;1000425;1000066
1000535;2006-06-24;1;1000425;1000067
1000536;2006-06-24;1;1000425;1000068
1000537;2006-06-24;1;1000431;1000108
1000538;2006-06-24;1;1000431;1000109
1000539;2006-06-24;1;1000439;1000221
1000540;2006-06-24;1;1000439;1000041
1000541;2006-06-24;1;1000439;1000042
1000542;2006-06-24;1;1000439;1000043
1000543;2006-06-24;1;1000439;1000044
1000544;2006-06-24;1;1000439;1000045
1000545;2006-06-24;1;1000439;1000046
1000546;2006-06-24;1;1000439;1000047
1000547;2006-06-24;1;1000439;1000048
1000548;2006-06-24;1;1000439;1000222
1000549;2006-06-24;1;1000439;1000223
1000550;2006-06-24;1;1000439;1000197
1000551;2006-06-24;1;1000439;1000198
1000552;2006-06-24;1;1000439;1000224
1000553;2006-06-24;1;1000439;1000203
1000554;2006-06-24;1;1000439;1000204
1000555;2006-06-24;1;1000439;1000165
1000556;2006-06-24;1;1000439;1000225
1000557;2006-06-24;1;1000439;1000160
1000558;2006-06-24;1;1000439;1000161
1000559;2006-06-24;1;1000439;1000162
1000560;2006-06-24;1;1000439;1000163
1000561;2006-06-24;1;1000439;1000130
1000562;2006-06-24;1;1000439;1000131
1000563;2006-06-24;1;1000439;1000205
1000564;2006-06-24;1;1000465;1000224
1000565;2006-06-24;1;1000465;1000203
1000566;2006-06-24;1;1000465;1000204
1000567;2006-06-24;1;1000465;1000226
1000568;2006-06-24;1;1000465;1000227
1000569;2006-06-24;1;1000465;1000228
1000570;2006-06-24;1;1000465;1000221
1000571;2006-06-24;1;1000465;1000160
1000572;2006-06-24;1;1000465;1000161
1000573;2006-06-24;1;1000465;1000162
1000574;2006-06-24;1;1000465;1000229
1000575;2006-06-24;1;1000465;1000041
1000576;2006-06-24;1;1000465;1000042
1000577;2006-06-24;1;1000465;1000043
1000578;2006-06-24;1;1000465;1000044
1000579;2006-06-24;1;1000465;1000045
1000580;2006-06-24;1;1000465;1000046
1000581;2006-06-24;1;1000465;1000047
1000582;2006-06-24;1;1000465;1000048
1000583;2006-06-24;1;1000465;1000230
1000584;2006-06-24;1;1000507;1000203
1000585;2006-06-24;1;1000507;1000204
1000586;2006-06-24;1;1000517;1000041
1000587;2006-06-24;1;1000517;1000042
1000588;2006-06-24;1;1000517;1000043
1000589;2006-06-24;1;1000517;1000044
1000590;2006-06-24;1;1000517;1000045
1000591;2006-06-24;1;1000517;1000046
1000592;2006-06-24;1;1000517;1000047
1000593;2006-06-24;1;1000517;1000048
1000594;2006-06-24;1;1000517;1000205
1000595;2006-06-24;1;1000517;1000203
1000596;2006-06-24;1;1000517;1000204
1000597;2006-06-24;1;1000553;1000165
1000598;2006-06-24;1;1000554;1000041
1000599;2006-06-24;1;1000554;1000042
1000600;2006-06-24;1;1000554;1000043
1000601;2006-06-24;1;1000554;1000044
1000602;2006-06-24;1;1000554;1000045
1000603;2006-06-24;1;1000554;1000046
1000604;2006-06-24;1;1000554;1000047
1000605;2006-06-24;1;1000554;1000048
1000606;2006-06-24;1;1000555;1000041
1000607;2006-06-24;1;1000555;1000042
1000608;2006-06-24;1;1000555;1000043
1000609;2006-06-24;1;1000555;1000044
1000610;2006-06-24;1;1000555;1000045
1000611;2006-06-24;1;1000555;1000046
1000612;2006-06-24;1;1000555;1000047
1000613;2006-06-24;1;1000555;1000048
1000614;2006-06-24;1;1000555;1000165
1000615;2006-06-24;1;1000563;1000072
